input: 
01202101210201202
Run: 1000000, 0.26% complete
Run: 75000000, 19.36% complete
Run: 76000000, 19.62% complete
Run: 77000000, 19.88% complete
Run: 78000000, 20.14% complete
Run: 79000000, 20.39% complete
Run: 80000000, 20.65% complete
Run: 81000000, 20.91% complete
Run: 82000000, 21.17% complete
Run: 83000000, 21.43% complete
Run: 84000000, 21.68% complete
Run: 85000000, 21.94% complete
Run: 86000000, 22.20% complete
Run: 87000000, 22.46% complete
Run: 88000000, 22.72% complete
Run: 89000000, 22.97% complete
Run: 90000000, 23.23% complete
Run: 91000000, 23.49% complete
Run: 92000000, 23.75% complete
Run: 93000000, 24.01% complete
Run: 94000000, 24.27% complete
Run: 95000000, 24.52% complete
Run: 96000000, 24.78% complete
Run: 97000000, 25.04% complete
Run: 98000000, 25.30% complete
Run: 99000000, 25.56% complete
Run: 100000000, 25.81% complete
Run: 101000000, 26.07% complete
Run: 102000000, 26.33% complete
Run: 103000000, 26.59% complete
Run: 104000000, 26.85% complete
Run: 105000000, 27.11% complete
Run: 106000000, 27.36% complete
Run: 107000000, 27.62% complete
Run: 108000000, 27.88% complete
Run: 109000000, 28.14% complete
Run: 110000000, 28.40% complete
Run: 111000000, 28.65% complete
Run: 112000000, 28.91% complete
Run: 113000000, 29.17% complete
Run: 114000000, 29.43% complete
Run: 115000000, 29.69% complete
Run: 116000000, 29.94% complete
Run: 117000000, 30.20% complete
Run: 118000000, 30.46% complete
Run: 119000000, 30.72% complete
Run: 120000000, 30.98% complete
Run: 121000000, 31.24% complete
Run: 122000000, 31.49% complete
Run: 123000000, 31.75% complete
Run: 124000000, 32.01% complete
Run: 125000000, 32.27% complete
Run: 126000000, 32.53% complete
Run: 127000000, 32.78% complete
Run: 128000000, 33.04% complete
Run: 129000000, 33.30% complete
Run: 130000000, 33.56% complete
Run: 131000000, 33.82% complete
Run: 132000000, 34.07% complete
Run: 133000000, 34.33% complete
Run: 134000000, 34.59% complete
Run: 135000000, 34.85% complete
Run: 136000000, 35.11% complete
Run: 137000000, 35.37% complete
Run: 138000000, 35.62% complete
Run: 139000000, 35.88% complete
Run: 140000000, 36.14% complete
Run: 141000000, 36.40% complete
Run: 142000000, 36.66% complete
Run: 143000000, 36.91% complete
Run: 144000000, 37.17% complete
Run: 145000000, 37.43% complete
Run: 146000000, 37.69% complete
Run: 147000000, 37.95% complete
Run: 148000000, 38.21% complete
Run: 149000000, 38.46% complete
Run: 150000000, 38.72% complete
Run: 151000000, 38.98% complete
Run: 152000000, 39.24% complete
Run: 153000000, 39.50% complete
Run: 154000000, 39.75% complete
Run: 155000000, 40.01% complete
Run: 156000000, 40.27% complete
Run: 157000000, 40.53% complete
Run: 158000000, 40.79% complete
Run: 159000000, 41.04% complete
Run: 160000000, 41.30% complete
Run: 161000000, 41.56% complete
Run: 162000000, 41.82% complete
Run: 163000000, 42.08% complete
Run: 164000000, 42.34% complete
Run: 165000000, 42.59% complete
Run: 166000000, 42.85% complete
Run: 167000000, 43.11% complete
Run: 168000000, 43.37% complete
Run: 169000000, 43.63% complete
Run: 170000000, 43.88% complete
Run: 171000000, 44.14% complete
Run: 172000000, 44.40% complete
Run: 173000000, 44.66% complete
Run: 174000000, 44.92% complete
Run: 175000000, 45.18% complete
Run: 176000000, 45.43% complete
Run: 177000000, 45.69% complete
Run: 178000000, 45.95% complete
Run: 179000000, 46.21% complete
Run: 180000000, 46.47% complete
Run: 181000000, 46.72% complete
Run: 182000000, 46.98% complete
Run: 183000000, 47.24% complete
Run: 184000000, 47.50% complete
Run: 185000000, 47.76% complete
Run: 186000000, 48.01% complete
Run: 187000000, 48.27% complete
Run: 188000000, 48.53% complete
Run: 189000000, 48.79% complete
Run: 190000000, 49.05% complete
Run: 191000000, 49.31% complete
Run: 192000000, 49.56% complete
Run: 193000000, 49.82% complete
Run: 194000000, 50.08% complete
Run: 195000000, 50.34% complete
Run: 196000000, 50.60% complete
Run: 197000000, 50.85% complete
Run: 198000000, 51.11% complete
Run: 199000000, 51.37% complete
Run: 200000000, 51.63% complete
Run: 201000000, 51.89% complete
Run: 202000000, 52.15% complete
Run: 203000000, 52.40% complete
Run: 204000000, 52.66% complete
Run: 205000000, 52.92% complete
Run: 206000000, 53.18% complete
Run: 207000000, 53.44% complete
Run: 208000000, 53.69% complete
Run: 209000000, 53.95% complete
Run: 210000000, 54.21% complete
Run: 211000000, 54.47% complete
Run: 212000000, 54.73% complete
Run: 213000000, 54.98% complete
Run: 214000000, 55.24% complete
Run: 215000000, 55.50% complete
Run: 216000000, 55.76% complete
Run: 217000000, 56.02% complete
Run: 218000000, 56.28% complete
Run: 219000000, 56.53% complete
Run: 220000000, 56.79% complete
Run: 221000000, 57.05% complete
Run: 222000000, 57.31% complete
Run: 223000000, 57.57% complete
Run: 224000000, 57.82% complete
Run: 225000000, 58.08% complete
Run: 226000000, 58.34% complete
Run: 227000000, 58.60% complete
Run: 228000000, 58.86% complete
Run: 229000000, 59.11% complete
Run: 230000000, 59.37% complete
Run: 231000000, 59.63% complete
Run: 232000000, 59.89% complete
Run: 233000000, 60.15% complete
Run: 234000000, 60.41% complete
Run: 235000000, 60.66% complete
Run: 236000000, 60.92% complete
Run: 237000000, 61.18% complete
Run: 238000000, 61.44% complete
Run: 239000000, 61.70% complete
Run: 240000000, 61.95% complete
Run: 241000000, 62.21% complete
Run: 242000000, 62.47% complete
Run: 243000000, 62.73% complete
Run: 244000000, 62.99% complete
Run: 245000000, 63.25% complete
Run: 246000000, 63.50% complete
Run: 247000000, 63.76% complete
Run: 248000000, 64.02% complete
Run: 249000000, 64.28% complete
Run: 250000000, 64.54% complete
Run: 251000000, 64.79% complete
Run: 252000000, 65.05% complete
Run: 253000000, 65.31% complete
Run: 254000000, 65.57% complete
Run: 255000000, 65.83% complete
Run: 256000000, 66.08% complete
Run: 257000000, 66.34% complete
Run: 258000000, 66.60% complete
Run: 259000000, 66.86% complete
Run: 260000000, 67.12% complete
Run: 261000000, 67.38% complete
Run: 262000000, 67.63% complete
Run: 263000000, 67.89% complete
Run: 264000000, 68.15% complete
Run: 265000000, 68.41% complete
Run: 266000000, 68.67% complete
Run: 267000000, 68.92% complete
Run: 268000000, 69.18% complete
Run: 269000000, 69.44% complete
Run: 270000000, 69.70% complete
Run: 271000000, 69.96% complete
Run: 272000000, 70.22% complete
Run: 273000000, 70.47% complete
Run: 274000000, 70.73% complete
Run: 275000000, 70.99% complete
